"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8",2355,166,131,833,20,1,2,43,57
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8",2304,164,130,830,23,2,0,39,52
"net.sourceforge.pmd.typeresolution.ClassTypeResolverTest",1283,78,64,83,123,98,0,104,0
"net.sourceforge.pmd.lang.java.typeresolution.ClassTypeResolver",1170,79,56,271,93,78,3,86,10
"net.sourceforge.pmd.lang.plsql.rule.AbstractPLSQLRule",944,225,223,231,9,6,7,11,2
"net.sourceforge.pmd.util.designer.Designer",914,79,47,131,116,24,1,49,21
"net.sourceforge.pmd.lang.plsql.ast.PLSQLParserVisitorAdapter",875,218,218,218,0,0,7,2,0
"net.sourceforge.pmd.cpd.GUI",754,78,54,83,62,2,1,25,38
"net.sourceforge.pmd.lang.java.rule.errorprone.ConstructorCallsOverridableMethodRule",643,53,35,166,30,22,0,44,25
"net.sourceforge.pmd.lang.apex.ast.ApexTreeBuilder",640,86,79,103,106,2,1,9,11
"net.sourceforge.pmd.lang.java.ast.JavaParserDecoratedVisitor",618,123,123,123,0,0,0,2,1
"net.sourceforge.pmd.lang.plsql.dfa.StatementAndBraceFinder",609,26,25,141,41,14,2,19,3
"net.sourceforge.pmd.stat.StatisticalRuleTest",599,93,93,124,22,8,0,14,15
"net.sourceforge.pmd.lang.jsp.ast.JspDocStyleTest",589,49,47,49,12,1,0,5,43
"net.sourceforge.pmd.lang.java.rule.AbstractJavaRule",536,128,125,133,8,6,111,10,0
"net.sourceforge.pmd.RuleSetTest",534,43,40,41,25,8,0,11,0
"net.sourceforge.pmd.lang.java.ast.JavaQualifiedNameTest",523,37,36,50,13,4,0,7,0
"net.sourceforge.pmd.lang.java.symboltable.ClassScope",523,26,11,137,35,27,19,35,5
"net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule",521,34,13,124,45,25,0,33,20
"net.sourceforge.pmd.docs.RuleDocGenerator",519,24,6,77,37,9,2,20,14
"net.sourceforge.pmd.lang.apex.rule.AbstractApexRule",497,95,94,99,102,101,31,106,0
"net.sourceforge.pmd.lang.java.ast.JavaParserVisitorDecorator",494,122,122,122,0,0,3,1,1
"net.sourceforge.pmd.lang.java.ast.JavaParserVisitorAdapter",489,121,121,121,0,0,17,2,0
"net.sourceforge.pmd.lang.vf.ast.VfDocStyleTest",484,37,36,37,10,0,0,3,34
"com.cb4.common.utils.null",475,35,35,1,27,0,0,31,11
"net.sourceforge.pmd.lang.java.typeresolution.MethodTypeResolution",453,25,24,114,25,11,3,22,4
"net.sourceforge.pmd.lang.java.typeresolution.typeinference.TypeInferenceResolver",442,27,22,143,14,2,2,9,9
"net.sourceforge.pmd.lang.vf.rule.security.VfUnescapeElRule",439,19,4,161,21,15,0,19,19
"net.sourceforge.pmd.dcd.graph.UsageGraphBuilder",415,48,38,91,17,3,1,14,8
"net.sourceforge.pmd.RuleSetFactory",403,25,13,86,31,7,65,16,8
"net.sourceforge.pmd.AbstractRuleSetFactoryTest",401,27,14,58,37,6,8,16,6
"net.sourceforge.pmd.testframework.RuleTst",394,26,15,72,40,14,9,26,1
"net.sourceforge.pmd.lang.ast.AbstractNode",392,57,54,95,18,5,19,13,14
"net.sourceforge.pmd.cpd.CPDConfiguration",385,55,54,77,22,4,7,14,24
"net.sourceforge.pmd.lang.apex.ast.ApexParserVisitorAdapter",368,91,91,91,0,0,5,2,0
"net.sourceforge.pmd.RuleSet",364,44,43,93,23,10,22,16,19
