"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"com.trevisan.umovandroid.model.SystemParameters",1252,342,342,345,6,1,98,4,208
"com.trevisan.umovandroid.service.TaskService",974,99,65,256,50,28,52,37,11
"com.trevisan.umovandroid.db.UpgradeScripts",913,2,1,161,5,4,1,5,0
"com.trevisan.umovandroid.adapter.materialdesign.ItemsAdapterForRecyclerViewMD",845,77,28,137,51,28,3,34,60
"com.trevisan.umovandroid.component.TTQualification",841,47,27,101,27,8,2,13,41
"com.trevisan.umovandroid.lib.expressions.ExpressionsController",822,69,34,219,28,20,26,24,28
"com.trevisan.umovandroid.service.FieldHistoricalService",820,90,79,185,33,21,58,32,3
"com.trevisan.umovandroid.service.ActivityTaskService",760,62,41,207,42,27,37,34,1
"com.trevisan.umovandroid.view.materialdesign.ActivityFieldsMD",722,62,28,135,77,51,8,57,37
"com.trevisan.umovandroid.sync.SyncController",710,68,21,154,45,35,31,41,43
"com.trevisan.umovandroid.service.SaveAndRestoreUmovContext",684,41,11,148,39,28,1,36,2
"com.trevisan.umovandroid.service.MultimediaLinksService",677,70,57,128,39,16,47,29,17
"com.trevisan.umovandroid.adapter.SectionsAndConferenceAdapter",654,56,20,106,50,28,3,31,15
"com.trevisan.umovandroid.service.ItemService",639,75,67,165,44,27,46,37,4
"com.trevisan.umovandroid.view.lib.TTActionBarActivity",637,74,45,139,80,39,64,44,27
"com.trevisan.umovandroid.dao.TaskDAO",585,30,19,91,21,14,1,18,0
"com.trevisan.umovandroid.service.SectionService",555,52,47,150,35,24,56,28,2
"com.trevisan.umovandroid.db.CreationScripts",550,1,1,1,1,0,1,0,0
"com.trevisan.umovandroid.dao.DAO",547,60,29,116,16,7,73,19,6
"com.trevisan.umovandroid.model.Field",546,132,132,136,5,0,122,5,121
"com.trevisan.umovandroid.service.DataCheckingService",539,49,11,118,38,19,3,28,13
"com.trevisan.umovandroid.view.ActivityLogin",538,55,21,97,62,31,3,37,36
